Wavelength_nm,2026_02_18_BluGlass_Lot2GainChip_GC1_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC2_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC3_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC4_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC5_T=20C__I=100mA.txt
397.33,52.948,60.712,52.163,68.637,69.984
397.36,64.178,72.512,60.263,82.537,81.484
397.39,61.938,68.812,66.563,80.437,83.584
397.41,62.628,67.612,57.213,78.537,84.984
397.44,55.248,63.012,59.563,76.537,78.484
397.47,63.598,70.012,56.713,83.837,78.884
397.5,55.528,67.312,51.563,72.537,69.884
397.53,60.328,71.112,54.513,72.337,77.284
397.55,53.998,59.112,52.663,74.537,72.984
397.58,62.708,72.612,56.413,74.937,82.184
397.61,54.878,63.512,50.113,62.837,71.584
397.64,63.958,71.112,60.613,78.137,86.484
397.67,55.928,68.212,52.213,71.637,77.384
397.69,64.258,73.612,57.663,80.737,81.984
397.72,56.868,69.212,49.063,74.937,79.384
397.75,60.528,72.612,54.913,78.737,77.284
397.78,64.368,76.212,68.263,84.337,84.184
397.81,61.798,65.812,55.663,71.137,77.784
397.83,58.078,69.912,54.663,72.837,77.684
397.86,69.458,78.312,61.763,85.537,91.184
397.89,55.478,64.212,49.513,72.237,73.384
397.92,62.188,74.212,58.263,74.437,85.784
397.94,73.578,89.612,76.963,96.437,99.984
397.97,62.678,79.012,55.163,79.337,81.584
398,75.778,103.41,88.913,101.24,120.48
398.03,67.048,73.812,60.713,75.437,88.784
398.06,56.498,72.212,55.963,73.737,77.584
398.08,64.688,76.112,57.813,84.737,83.084
398.11,56.528,70.012,49.513,72.137,70.284
398.14,65.368,74.812,56.013,81.537,84.984
398.17,55.708,65.412,54.113,75.837,68.484
398.2,64.548,73.812,55.513,85.737,79.084
398.22,64.358,77.312,65.063,81.437,88.284
398.25,64.328,71.712,58.013,80.537,78.884
398.28,56.468,66.912,50.063,76.437,73.784
398.31,64.868,72.612,58.913,75.837,84.184
398.34,54.278,65.412,54.613,73.737,71.284
398.36,60.108,72.112,56.563,73.837,78.484
398.39,55.318,67.112,52.663,76.137,73.984
398.42,65.678,72.312,56.263,83.137,83.784
398.45,53.418,62.012,54.113,76.237,72.984
398.48,63.198,72.412,54.963,78.537,81.184
398.5,55.728,65.712,48.513,74.837,72.984
398.53,62.138,70.412,52.663,74.137,77.684
398.56,66.228,77.812,65.663,82.237,92.184
398.59,63.648,71.312,55.213,80.237,81.584
398.62,54.438,60.512,49.513,68.137,68.884
398.64,65.818,74.712,56.613,81.937,78.984
398.67,53.108,65.712,48.263,69.337,68.984
398.7,61.078,71.812,53.763,73.437,74.784
398.73,53.848,60.312,50.463,67.837,70.084
398.75,62.398,71.512,61.313,79.937,75.984
398.78,54.248,64.612,52.363,71.237,74.384
398.81,62.908,71.512,52.463,78.937,71.784
398.84,54.138,66.012,50.613,72.037,71.484
398.87,60.068,73.012,56.763,78.237,75.784
398.89,54.628,62.612,50.713,67.237,69.884
398.92,62.518,70.212,57.513,77.737,74.284
398.95,54.798,67.412,48.663,69.337,70.984
398.98,60.248,73.312,52.763,80.337,74.084
399,57.678,61.212,51.913,65.037,77.984
399.03,70.288,82.012,70.813,93.937,86.884
399.06,53.138,61.612,50.013,70.537,70.484
399.09,63.408,72.612,54.563,78.537,80.584
399.12,53.538,67.112,47.913,69.437,73.384
399.14,73.408,81.312,67.913,91.037,94.884
399.17,56.278,63.512,52.163,69.437,70.784
399.2,64.288,72.112,56.763,83.937,84.384
399.23,52.888,65.612,53.313,62.937,70.984
399.26,61.878,73.612,55.613,76.037,78.584
399.28,57.128,68.512,52.813,73.837,71.584
399.31,62.848,72.612,60.213,79.837,81.084
399.34,53.098,65.312,48.613,63.637,70.084
399.37,65.218,73.512,54.913,80.737,79.984
399.39,52.778,59.712,51.263,67.137,72.984
399.42,64.828,79.312,55.863,81.837,79.684
399.45,53.608,58.212,50.963,67.837,68.084
399.48,63.168,76.512,53.863,79.537,79.184
399.51,56.648,70.812,54.313,72.437,75.084
399.53,62.008,65.112,55.763,79.637,79.384
399.56,53.778,63.312,49.563,71.837,67.384
399.59,62.928,74.212,53.213,73.837,81.584
399.62,58.948,74.712,57.863,76.637,78.484
399.64,65.418,70.712,60.013,75.937,78.884
399.67,57.038,67.612,49.513,68.737,74.584
399.7,62.798,69.912,62.213,79.837,79.584
399.73,60.698,70.612,57.363,73.637,76.884
399.76,64.358,73.612,55.363,83.837,84.184
399.78,57.558,63.612,51.263,71.437,78.784
399.81,62.598,71.112,52.613,74.437,80.784
399.84,56.168,66.812,54.663,63.837,75.284
399.87,65.328,70.612,56.713,78.337,86.384
399.89,56.488,66.912,51.913,69.237,67.384
399.92,64.928,74.712,56.963,85.037,77.484
399.95,59.088,70.012,50.663,73.737,74.884
399.98,64.418,75.112,53.363,77.637,83.784
400.01,57.138,71.012,53.813,74.837,75.484
400.03,65.498,74.912,54.013,79.137,80.584
400.06,59.578,70.812,53.413,76.437,76.684
400.09,68.558,80.512,57.263,88.137,93.184
400.12,54.768,64.812,50.713,65.537,68.784
400.14,65.428,74.012,57.463,81.937,88.084
400.17,57.138,63.712,53.563,70.437,77.184
400.2,63.748,73.512,55.163,79.137,79.684
400.23,55.148,67.312,50.363,67.137,70.084
400.26,61.428,72.712,54.713,83.237,84.884
400.28,62.698,70.312,60.563,86.837,80.384
400.31,74.038,89.312,68.013,96.537,95.884
400.34,64.068,75.612,66.112,77.837,85.784
400.37,67.828,74.512,60.613,87.637,85.384
400.39,57.308,72.612,55.413,74.537,74.984
400.42,64.668,74.812,52.113,77.737,82.684
400.45,65.618,79.312,61.563,86.537,85.284
400.48,63.698,71.912,53.713,80.037,78.984
400.51,54.738,63.912,52.163,73.337,73.584
400.53,64.688,75.012,52.763,73.337,83.984
400.56,58.308,73.512,54.713,75.137,73.884
400.59,63.558,77.912,53.013,79.737,83.784
400.62,63.098,74.412,55.513,74.737,81.784
400.64,68.518,75.212,63.613,79.537,85.284
400.67,58.148,70.212,49.913,72.137,74.284
400.7,63.668,75.812,52.413,80.837,79.284
400.73,57.658,72.012,50.963,69.337,72.384
400.75,64.478,76.112,58.013,79.437,80.784
400.78,55.448,63.312,50.363,68.037,68.184
400.81,63.568,70.612,52.613,78.537,77.884
400.84,55.868,63.612,51.763,67.337,72.984
400.87,64.598,76.312,54.213,84.937,85.084
400.89,57.098,64.112,51.263,74.237,72.684
400.92,65.978,75.312,58.913,77.937,83.584
400.95,55.508,60.612,51.463,71.537,77.684
400.98,59.478,71.512,53.313,73.737,76.384
401,57.458,63.012,47.063,72.537,72.284
401.03,63.628,75.312,54.463,80.637,78.284
401.06,54.738,62.912,51.313,72.437,72.084
401.09,65.218,78.012,55.163,79.637,76.984
401.12,61.998,74.612,62.413,80.937,89.284
401.14,60.578,71.012,51.663,78.137,75.084
401.17,52.978,59.312,50.463,65.437,69.084
401.2,61.688,68.512,53.513,72.537,79.184
401.23,52.698,61.912,51.613,67.937,70.784
401.25,61.518,69.812,56.363,74.137,76.784
401.28,54.738,63.612,49.563,72.137,69.884
401.31,61.198,73.512,54.363,75.837,76.484
401.34,59.628,66.912,64.513,77.937,77.884
401.36,61.658,69.412,51.963,75.437,81.284
401.39,53.188,61.012,51.713,65.337,65.284
401.42,59.118,69.112,56.513,73.337,75.284
401.45,52.198,61.212,53.713,73.037,67.984
401.47,56.598,67.912,55.113,71.237,74.684
401.5,49.258,56.612,45.613,61.437,67.784
401.53,56.278,64.412,52.813,66.337,73.984
401.56,55.638,63.612,56.813,75.537,76.784
401.58,60.688,74.312,54.713,73.837,75.684
401.61,48.868,66.212,51.513,66.337,64.084
401.64,58.888,69.812,51.063,83.237,76.384
401.67,46.668,51.912,47.863,57.637,61.084
401.69,56.108,63.912,49.763,66.437,73.484
401.72,47.598,59.012,48.013,67.437,67.184
401.75,58.188,73.812,55.513,75.237,75.584
401.78,47.848,54.812,46.363,66.737,67.084
401.81,57.238,59.812,49.963,72.537,76.284
401.83,49.708,56.012,48.213,65.137,64.884
401.86,56.848,63.812,49.763,67.437,76.484
401.89,50.138,59.212,47.213,64.137,65.284
401.92,58.448,62.912,54.913,73.637,70.684
401.94,60.458,68.212,62.013,76.337,78.484
401.97,58.268,72.712,57.863,77.037,77.584
402,47.378,56.812,47.413,61.437,71.784
402.03,57.458,63.912,54.863,72.737,79.584
402.05,48.528,61.112,49.013,63.337,63.084
402.08,60.078,74.012,52.063,69.637,70.384
402.11,51.248,59.212,49.563,67.437,69.684
402.14,61.808,74.112,57.163,78.437,79.784
402.16,51.928,59.812,45.763,65.837,70.484
402.19,58.298,70.412,51.163,74.537,73.284
402.22,52.318,62.312,49.163,65.737,67.084
402.25,57.638,64.312,51.013,75.037,74.184
402.27,57.408,66.112,60.513,74.737,80.784
402.3,57.728,69.212,51.813,67.437,74.384
402.33,52.938,64.112,47.013,68.737,66.584
402.36,57.628,66.012,51.513,73.337,76.084
402.38,49.708,54.212,49.063,64.237,66.184
402.41,58.108,68.512,52.913,78.637,78.084
402.44,52.988,59.912,51.763,71.437,75.084
402.47,56.428,66.312,52.263,71.637,71.584
402.5,52.368,59.512,49.913,65.337,66.384
402.52,63.928,74.412,57.563,78.237,89.584
402.55,53.318,59.712,47.913,63.637,66.984
402.58,62.238,72.212,53.813,74.237,81.884
402.61,53.118,68.012,54.363,70.337,78.684
402.63,56.388,65.612,49.013,70.537,69.884
402.66,49.288,62.512,47.413,69.037,64.484
402.69,54.268,60.912,51.213,68.737,75.984
402.71,53.558,65.412,49.763,65.637,69.484
402.74,57.548,68.312,50.113,73.637,77.484
402.77,49.138,56.712,50.963,64.337,63.884
402.8,69.038,79.312,70.063,90.637,91.784
402.82,53.798,61.512,48.863,65.637,68.284
402.85,56.618,68.412,50.313,68.937,74.884
402.88,52.458,64.812,48.413,67.537,70.684
402.91,59.178,67.812,52.313,75.037,73.284
402.94,49.408,57.512,47.263,71.637,71.784
402.96,59.928,65.612,50.863,75.537,73.884
402.99,52.048,59.912,49.613,65.337,71.184
403.02,61.298,66.512,50.163,73.637,70.484
403.05,47.348,58.212,42.213,64.637,66.384
403.07,61.688,69.212,50.863,77.137,83.584
403.1,50.388,63.112,47.463,66.637,69.484
403.13,58.348,66.212,51.663,78.537,75.684
403.15,51.598,56.712,49.913,66.937,66.784
403.18,60.458,69.212,50.363,73.837,76.484
403.21,56.678,69.712,60.863,72.037,75.684
403.24,57.218,66.012,52.763,77.637,76.284
403.26,49.738,53.812,47.463,66.937,69.984
403.29,60.338,65.612,55.713,76.937,81.284
403.32,51.858,59.112,43.913,70.037,67.784
403.35,65.568,79.512,64.563,90.737,91.984
403.38,50.118,57.512,47.513,65.337,62.084
403.4,61.488,69.812,55.163,76.337,84.284
403.43,49.618,57.312,52.113,61.337,64.984
403.46,57.868,66.212,50.213,71.537,75.984
403.49,49.408,60.412,45.013,62.037,62.284
403.51,60.508,66.012,51.913,76.737,83.984
403.54,51.658,62.612,48.113,66.837,73.684
403.57,57.678,67.712,47.213,73.737,72.584
403.6,54.478,60.012,47.363,65.037,73.084
403.62,61.478,73.112,53.163,84.137,79.684
403.65,54.028,62.312,51.013,66.837,74.484
403.68,60.308,65.812,49.613,74.737,82.184
403.7,51.538,59.112,50.963,65.137,69.184
403.73,62.008,69.712,53.813,76.237,77.884
403.76,52.418,61.412,48.313,66.737,66.984
403.79,65.418,74.212,53.563,85.337,85.184
403.81,52.658,65.412,43.863,71.237,68.584
403.84,62.388,69.812,55.413,76.437,74.484
403.87,52.328,63.112,47.763,74.637,68.684
403.9,63.028,74.012,53.913,76.837,73.784
403.92,50.928,65.812,45.013,64.937,69.084
403.95,67.378,81.212,67.362,85.537,90.984
403.98,60.288,69.012,61.063,80.537,81.784
404.01,60.358,68.012,49.413,77.037,75.084
404.03,57.178,69.512,47.213,72.737,70.784
