Wavelength_nm,2026_02_18_BluGlass_Lot2GainChip_GC1_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC2_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC3_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC4_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC5_T=20C__I=100mA.txt
414.5,0.035725,0.11242,0.044553,0.042908,0.044882
414.53,0.029831,0.098906,0.039287,0.039511,0.036185
414.56,0.034458,0.11892,0.042869,0.042332,0.040674
414.58,0.029292,0.10027,0.038467,0.036057,0.037868
414.61,0.03412,0.11841,0.046279,0.042044,0.044826
414.64,0.028988,0.09634,0.040884,0.036115,0.037868
414.66,0.034619,0.11328,0.044639,0.045959,0.042189
414.69,0.027956,0.095484,0.037431,0.038245,0.035006
414.71,0.035622,0.11636,0.041704,0.044462,0.041684
414.74,0.029831,0.10113,0.037431,0.039511,0.036072
414.77,0.034114,0.11636,0.039978,0.043656,0.04
414.79,0.028696,0.093774,0.037561,0.038475,0.038654
414.82,0.036969,0.12594,0.050681,0.046822,0.046397
414.85,0.027262,0.090523,0.035489,0.038533,0.035399
414.87,0.034017,0.11225,0.041359,0.043771,0.041572
414.9,0.028707,0.10558,0.038337,0.037094,0.033211
414.93,0.032979,0.097024,0.038596,0.042562,0.039047
414.95,0.025565,0.092576,0.034626,0.032776,0.037756
414.98,0.033747,0.1066,0.043689,0.039799,0.042245
415,0.028036,0.09634,0.036179,0.036,0.03467
415.03,0.033873,0.11687,0.046754,0.043484,0.045051
415.06,0.029498,0.10062,0.039719,0.036633,0.038205
415.08,0.035347,0.11037,0.040927,0.038763,0.04275
415.11,0.027629,0.094458,0.035705,0.036173,0.036129
415.14,0.032887,0.11225,0.038424,0.041757,0.040842
415.16,0.027572,0.077692,0.036179,0.036518,0.03192
415.19,0.032595,0.1025,0.040193,0.040835,0.03972
415.22,0.025703,0.094629,0.035014,0.033006,0.032986
415.24,0.031843,0.10695,0.039373,0.037842,0.037307
415.27,0.027876,0.097709,0.039287,0.036806,0.035287
415.3,0.031603,0.090694,0.042826,0.040433,0.04073
415.32,0.027245,0.092405,0.036784,0.033928,0.03192
415.35,0.032021,0.10797,0.039201,0.041872,0.037644
415.37,0.027755,0.081627,0.038381,0.037842,0.03568
415.4,0.031683,0.10164,0.043862,0.040433,0.038261
415.43,0.025192,0.08214,0.035273,0.034906,0.033435
415.45,0.031987,0.10489,0.041833,0.040835,0.035343
415.48,0.028415,0.097195,0.039675,0.034791,0.037756
415.51,0.033002,0.11208,0.04425,0.039339,0.04
415.53,0.027262,0.09788,0.037863,0.035252,0.035119
415.56,0.032486,0.10934,0.045632,0.042735,0.044602
415.58,0.027801,0.096682,0.037517,0.036806,0.034557
415.61,0.032956,0.1114,0.044898,0.041181,0.041067
415.64,0.026718,0.087272,0.038899,0.034676,0.032874
415.66,0.032944,0.11345,0.040539,0.041526,0.038934
415.69,0.029309,0.10027,0.039762,0.036518,0.038205
415.72,0.032222,0.11447,0.039158,0.041699,0.040786
415.74,0.025428,0.092063,0.035014,0.035136,0.03192
415.77,0.032136,0.10575,0.041316,0.038936,0.040057
415.8,0.025124,0.084193,0.032986,0.030934,0.031976
415.82,0.032623,0.10096,0.040884,0.039742,0.040954
415.85,0.027188,0.08847,0.036266,0.037727,0.034726
415.87,0.031798,0.10233,0.039978,0.039742,0.035231
415.9,0.026781,0.097195,0.038208,0.033928,0.036465
415.93,0.030444,0.095313,0.039503,0.039454,0.037251
415.95,0.026993,0.083166,0.034712,0.034906,0.034557
415.98,0.03264,0.095656,0.042179,0.043656,0.038654
416,0.025743,0.085219,0.035575,0.03364,0.034614
416.03,0.031838,0.10147,0.042869,0.042447,0.040393
416.06,0.0267,0.089497,0.033417,0.034273,0.034614
416.08,0.031482,0.088641,0.040798,0.041238,0.039888
416.11,0.025496,0.091721,0.038899,0.034561,0.036016
416.14,0.033569,0.10301,0.045545,0.045095,0.044209
416.16,0.028151,0.092918,0.037172,0.038072,0.037419
416.19,0.031316,0.10507,0.042481,0.042505,0.041067
416.21,0.0274,0.093089,0.038381,0.03577,0.034052
416.24,0.029424,0.098393,0.039848,0.039339,0.038598
416.27,0.026517,0.089668,0.034539,0.035482,0.032481
416.29,0.030083,0.10438,0.038122,0.038648,0.037419
416.32,0.025915,0.084193,0.035964,0.033755,0.033267
416.35,0.031442,0.099419,0.041316,0.04026,0.040674
416.37,0.026792,0.080771,0.035316,0.031567,0.037868
416.4,0.031626,0.10147,0.04028,0.041066,0.038878
416.43,0.029928,0.098222,0.041272,0.036057,0.037868
416.45,0.030599,0.097024,0.038812,0.035597,0.0377
416.48,0.026591,0.085391,0.034669,0.036288,0.038485
416.5,0.033283,0.11174,0.04602,0.04026,0.042245
416.53,0.026345,0.086417,0.036741,0.034618,0.033996
416.56,0.030725,0.09959,0.03769,0.040202,0.039327
416.58,0.029235,0.094116,0.042912,0.035252,0.033603
416.61,0.032165,0.1037,0.040064,0.039511,0.038934
416.63,0.027927,0.090523,0.036352,0.035942,0.033547
416.66,0.032509,0.109,0.042308,0.041296,0.041964
416.69,0.028306,0.089668,0.038035,0.036173,0.03366
416.71,0.03256,0.1143,0.041618,0.038993,0.042357
416.74,0.0308,0.099248,0.045114,0.041699,0.040505
416.77,0.03244,0.10318,0.041618,0.041411,0.040169
416.79,0.028489,0.093603,0.037431,0.037036,0.035511
416.82,0.031666,0.11379,0.040711,0.038187,0.041123
416.85,0.028036,0.086759,0.039071,0.036115,0.034389
416.87,0.032881,0.10181,0.040021,0.041411,0.040281
416.9,0.028088,0.088641,0.038985,0.035942,0.034277
416.92,0.032096,0.1013,0.040754,0.040893,0.038822
416.95,0.02795,0.09155,0.039373,0.0379,0.037588
416.98,0.034613,0.11362,0.04097,0.043426,0.042975
417,0.027882,0.093431,0.03523,0.039396,0.034108
417.03,0.033351,0.10986,0.043689,0.043484,0.041796
417.05,0.030427,0.092234,0.039675,0.037439,0.034389
417.08,0.032577,0.10849,0.041402,0.039857,0.039271
417.11,0.030427,0.093603,0.040625,0.034676,0.035455
417.13,0.034275,0.11362,0.04261,0.043368,0.045836
417.16,0.057697,0.20498,0.10019,0.079577,0.079898
417.19,0.033919,0.11122,0.042049,0.043426,0.04275
417.21,0.03154,0.097537,0.040668,0.039569,0.038878
417.24,0.035421,0.12149,0.039675,0.044002,0.044265
417.26,0.028426,0.090181,0.037129,0.036806,0.035904
417.29,0.03553,0.11362,0.044509,0.043311,0.044377
417.32,0.03131,0.10814,0.040582,0.038706,0.038822
417.34,0.035031,0.10917,0.040927,0.04734,0.041852
417.37,0.030771,0.097537,0.042912,0.038878,0.04174
417.39,0.035261,0.12252,0.045545,0.044117,0.043816
417.42,0.028937,0.098735,0.039201,0.036,0.035175
417.45,0.040381,0.14185,0.051501,0.050276,0.051897
417.47,0.03029,0.085904,0.038899,0.040663,0.039271
417.5,0.035863,0.11396,0.042826,0.045383,0.043255
417.52,0.034785,0.11721,0.048782,0.046304,0.046566
417.55,0.036459,0.11276,0.047444,0.043253,0.045949
417.58,0.03213,0.10318,0.041833,0.04003,0.037363
417.6,0.039876,0.12799,0.050811,0.053903,0.049203
417.63,0.033535,0.10301,0.043646,0.044059,0.042694
417.65,0.040501,0.13843,0.054307,0.051428,0.048361
417.68,0.034934,0.1143,0.050422,0.044923,0.047071
417.71,0.036224,0.11122,0.047013,0.048952,0.043199
417.73,0.03518,0.11516,0.047962,0.046016,0.046117
417.76,0.03627,0.11636,0.041531,0.043829,0.041964
417.79,0.032199,0.10934,0.041272,0.039569,0.039832
417.81,0.040375,0.1309,0.055041,0.052694,0.050887
417.84,0.029338,0.10541,0.040539,0.039166,0.035904
417.86,0.036998,0.11413,0.04766,0.045268,0.043985
417.89,0.03291,0.10934,0.04015,0.043138,0.041908
417.92,0.036734,0.10883,0.044423,0.047225,0.043087
417.94,0.030565,0.099762,0.042481,0.03836,0.037756
417.97,0.037118,0.11858,0.042567,0.046016,0.045724
418,0.034917,0.11944,0.050638,0.044347,0.044377
418.02,0.035404,0.10849,0.043085,0.046016,0.042806
418.05,0.031408,0.094287,0.041402,0.039454,0.039215
418.07,0.042984,0.13381,0.054954,0.053903,0.055095
418.1,0.031987,0.10353,0.038769,0.038015,0.038878
418.13,0.036952,0.11362,0.044509,0.046995,0.047183
418.15,0.035765,0.1143,0.049732,0.045038,0.043928
418.18,0.036299,0.12252,0.04343,0.043368,0.04449
418.2,0.034085,0.10404,0.047703,0.042332,0.042862
418.23,0.040197,0.12782,0.054652,0.04924,0.050382
418.25,0.031769,0.091207,0.040064,0.040145,0.039495
418.28,0.034653,0.10558,0.043474,0.044808,0.04
418.31,0.044521,0.15348,0.070449,0.063056,0.057789
418.33,0.03846,0.11105,0.046926,0.049988,0.044265
418.36,0.032388,0.10062,0.040754,0.041238,0.041852
418.38,0.039223,0.11995,0.050293,0.046592,0.051336
418.41,0.030995,0.10147,0.037992,0.041699,0.039832
418.44,0.037348,0.11447,0.045114,0.048607,0.042413
418.46,0.032136,0.10045,0.039546,0.041181,0.041628
418.49,0.037159,0.12063,0.043474,0.046362,0.043648
418.52,0.032732,0.096682,0.041833,0.040605,0.041235
418.54,0.039636,0.12098,0.04615,0.045786,0.045892
418.57,0.032394,0.10318,0.04425,0.039339,0.039103
418.59,0.037938,0.10883,0.044164,0.046995,0.044658
418.62,0.035599,0.11345,0.049732,0.044865,0.045219
418.65,0.037841,0.11516,0.048221,0.045326,0.043704
418.67,0.03334,0.1037,0.043387,0.041584,0.038149
418.7,0.036098,0.11122,0.044423,0.04262,0.042862
418.72,0.030112,0.10045,0.040064,0.038418,0.036297
418.75,0.03592,0.11978,0.041661,0.044692,0.041179
418.78,0.029533,0.098735,0.036395,0.035367,0.038317
418.8,0.036453,0.1208,0.046408,0.043541,0.041684
418.83,0.032663,0.10062,0.040711,0.041296,0.03899
418.85,0.034538,0.11773,0.046236,0.040548,0.039664
418.88,0.036516,0.12098,0.053314,0.049586,0.044995
418.91,0.035937,0.10832,0.043603,0.041699,0.040113
418.93,0.030731,0.087615,0.042049,0.037957,0.037531
